"Ksv Banner","Ksv Banner"
"Banner","Banner"
"Manage Banners","Manage Banners"
"Add Banner","Add Banner"
"Banner Manager","Banner Manager"
"ID","ID"
"Title","Title"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Enabled","Enabled"
"Disabled","Disabled"
"Change status","Change status"
"Save Banner","Save Banner"
"Delete Banner","Delete Banner"
"Banner Information","Banner Information"
"General Information","General Information"
"Title","Title"
"Position","Position"
"Height","Height"
"Width","Width"
"Is Active","Is Active"
"Yes","Yes"
"No","No"
"Advanced Settings","Advanced Settings"
"Banner Images","Banner Images"
"Image","Image"
"Label","Label"
"Sort Order","Sort Order"
"Exclude","Exclude"
"Remove","Remove"
"Roll Over for preview","Roll Over for preview"
"No image","No image"
"Display on Pages","Display on Pages"
"Banner Pages","Banner Pages"
"Visible In","Visible In"
"Display on Categories","Display on Categories"
"Banner Categories","Banner Categories"
"Edit Banner '%s'","Edit Banner '%s'"
"Widget","Widget"
"Link","Link"
"HTML","HTML"
"Note","Note"
"Image Link Url : Please enter url with http and www","Image Link Url : Please enter url with http and www"
